Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-M-S-6,Indian Institute of Management Sambalpur,64.06,18.02,81.32,75.56,30.31,Sambalpur,Odisha,51.47,50
IR-M-U-0467,National Institute of Technology Tiruchirappalli,54.19,39.84,71.84,61.66,26.50,Tiruchirappalli,Tamil Nadu,51.40,51
IR-M-S-17295,Great Lakes Institute of Management,76.53,18.83,72.51,79.25,3.10,Gurgaon,Haryana,51.35,52
IR-M-I-1066,Fore School of Management,70.42,17.93,85.12,62.40,13.23,New Delhi,Delhi,51.08,53
IR-M-U-0373,Chitkara University,71.22,33.81,57.30,75.06,5.52,Rajpura,Punjab,51.02,54
IR-M-U-0146,Nirma University,64.09,27.69,80.98,63.98,8.69,Ahmedabad,Gujarat,51.01,55
IR-M-I-1408,"International Management Institute, Kolkata",63.64,30.94,79.30,66.28,1.06,Kolkata,West Bengal,50.97,56
IR-M-S-15911,Indian Institute of Management Sirmaur,66.29,18.15,83.61,72.67,15.88,Sirmaur,Himachal Pradesh,50.92,57
IR-M-S-156,"T. A. Pai Management Institute, Manipal",60.10,25.90,81.91,70.48,15.51,Manipal,Karnataka,50.78,58
IR-M-U-0555,Graphic Era University,69.16,27.41,59.00,71.68,26.50,Dehradun,Uttarakhand,50.59,59
IR-M-U-0217,Christ University,61.48,22.09,69.90,72.45,42.58,Bengaluru,Karnataka,50.56,60
IR-M-I-1124,"International Management Institute, Bhubaneswar",72.06,16.72,78.94,76.91,2.60,Bhubaneswar,Odisha,50.38,61
IR-M-U-0363,Siksha `O` Anusandhan,70.66,19.77,69.03,75.46,12.04,Bhubaneswar,Odisha,49.69,62
IR-M-C-56616,K J Somaiya Institute of Management Studies and Research,68.84,23.02,72.59,66.72,9.12,Mumbai,Maharashtra,49.66,63
IR-M-S-354,Birla Institute of Management Technology,67.23,18.69,80.54,65.89,9.55,Greater Noida,Uttar Pradesh,49.44,64
IR-M-U-0099,Guru Gobind Singh Indraprastha University,60.92,32.16,73.02,54.04,14.76,New Delhi,Delhi,49.40,65
IR-M-S-331,Loyola Institute of Business Administration,69.63,15.81,72.60,61.76,29.25,Chennai,Tamil Nadu,49.26,66
IR-M-U-0356,Kalinga Institute of Industrial Technology,79.12,22.29,51.75,77.22,7.36,Bhubaneswar,Odisha,49.24,67
IR-M-U-0410,Malaviya National Institute of Technology,48.90,57.63,55.61,57.51,3.10,Jaipur,Rajasthan,49.14,68
IR-M-U-0439,Anna University,53.37,39.59,63.23,45.31,38.52,Chennai,Tamil Nadu,48.92,69
IR-M-U-0496,Aligarh Muslim University,54.24,40.29,68.52,53.44,12.84,Aligarh,Uttar Pradesh,48.68,70
IR-M-U-0213,Alliance University,78.59,9.03,67.19,74.92,11.64,Bengaluru,Karnataka,48.38,71
IR-M-S-419,"Jaipuria Institute of Management, Lucknow",71.51,12.81,72.36,60.82,24.76,Lucknow,Uttar Pradesh,48.32,72
IR-M-U-0749,"Manipal University, Jaipur",66.15,24.92,68.06,69.07,2.60,Jaipur,Rajasthan,48.10,73
IR-M-I-1441,Saveetha Institute of Medical and Technical Sciences,67.57,30.84,51.62,77.73,3.10,Chennai,Tamil Nadu,47.92,74
IR-M-S-309,Jaipuria Institute of Management,71.33,13.88,74.40,56.82,14.38,Jaipur,Rajasthan,47.56,75
IR-M-U-0263,National Institute of Technology Calicut,67.49,24.68,66.03,54.08,12.84,Kozhikode,Kerala,47.55,76
IR-M-U-0223,"Jain University, Bangalore",72.00,11.96,70.81,68.40,12.84,Bengaluru,Karnataka,47.47,77
IR-M-U-0107,Jamia Hamdard,67.80,17.57,70.05,74.13,3.60,New Delhi,Delhi,47.39,78
IR-M-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),70.68,26.18,54.41,70.35,3.10,Vaddeswaram,Andhra Pradesh,47.27,79
IR-M-C-37013,PSG College of Technology,60.45,11.27,76.60,57.88,45.02,Coimbatore,Tamil Nadu,47.13,80
IR-M-U-0253,Cochin University of Science and Technology,70.94,19.37,66.27,58.71,8.69,Cochin,Kerala,47.08,81
IR-M-C-36557,Thiagarajar School of Management,66.90,24.31,64.38,47.67,20.06,Madurai,Tamil Nadu,47.02,82
IR-M-U-0735,BML Munjal University,70.47,14.53,66.98,74.64,3.10,Gurgaon,Haryana,46.67,83
IR-M-S-19472,Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),67.48,10.70,81.80,60.71,6.45,Mumbai,Maharashtra,46.53,84
IR-M-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,62.24,23.46,71.80,52.78,11.23,Gwalior,Madhya Pradesh,46.47,85
IR-M-U-0498,Babasaheb Bhimrao Ambedkar University,62.44,11.05,78.23,82.67,4.57,Lucknow,Uttar Pradesh,46.42,86
IR-M-S-782,Jagan Institute of Management Studies Technical Campus,66.04,8.36,78.75,70.66,12.44,Delhi,Delhi,46.38,87
IR-M-C-32887,New Delhi Institute of Management,70.21,3.47,79.10,72.49,11.23,Delhi,Delhi,46.29,88
