Institute ID,Name,City,State,Rank
IR-V-U-0104,Indira Gandhi National Open University (IGNOU),New Delhi,Delhi,1
IR-V-U-0578,Netaji Subhash Open University,Kolkata,West Bengal,2
IR-V-U-0131,Dr. Babasaheb Ambedkar Open University,Ahmedabad,Gujarat,3
