Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-O-U-0456,Indian Institute of Technology Madras,88.37,87.30,85.76,65.68,100.00,Chennai,Tamil Nadu,86.42,1
IR-O-U-0220,"Indian Institute of Science, Bengaluru",83.60,86.50,82.17,58.46,99.70,Bengaluru,Karnataka,83.28,2
IR-O-U-0306,Indian Institute of Technology Bombay,83.85,82.35,83.36,59.05,89.32,Mumbai,Maharashtra,81.37,3
IR-O-I-1074,Indian Institute of Technology Delhi,76.57,86.23,77.48,66.23,93.48,New Delhi,Delhi,80.31,4
IR-O-I-1075,Indian Institute of Technology Kanpur,89.84,69.09,81.96,60.83,74.12,Kanpur,Uttar Pradesh,77.56,5
IR-O-U-0573,Indian Institute of Technology Kharagpur,76.65,74.94,80.18,57.29,75.24,Kharagpur,West Bengal,74.77,6
IR-O-N-15,All India Institute of Medical Sciences Delhi,79.09,71.26,68.66,71.29,82.97,New Delhi,Delhi,74.27,7
IR-O-U-0560,Indian Institute of Technology Roorkee,76.55,70.48,79.14,62.91,52.89,Roorkee,Uttarakhand,71.52,8
IR-O-U-0053,Indian Institute of Technology Guwahati,76.33,64.43,81.35,61.96,43.43,Guwahati,Assam,69.04,9
IR-O-U-0109,Jawaharlal Nehru University,74.93,45.27,97.34,72.28,57.71,New Delhi,Delhi,68.53,10
IR-O-U-0500,Banaras Hindu University,73.59,51.01,94.94,61.57,50.25,Varanasi,Uttar Pradesh,67.56,11
IR-O-U-0013,Indian Institute of Technology Hyderabad,78.96,56.59,73.33,59.21,54.34,Hyderabad,Telangana,66.69,12
IR-O-U-0108,Jamia Millia Islamia,71.29,49.28,92.72,83.10,29.78,New Delhi,Delhi,66.00,13
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",78.11,55.94,77.34,67.33,25.34,Manipal,Karnataka,64.94,14
IR-O-U-0120,University of Delhi,56.75,56.42,98.54,67.57,43.93,Delhi,Delhi,64.81,15
IR-O-U-0496,Aligarh Muslim University,74.02,45.91,93.81,61.15,33.15,Aligarh,Uttar Pradesh,64.17,16
IR-O-U-0575,Jadavpur University,68.83,51.35,89.92,49.94,48.20,Kolkata,West Bengal,63.84,17
IR-O-U-0436,Amrita Vishwa Vidyapeetham,76.51,47.82,77.63,73.83,36.07,Coimbatore,Tamil Nadu,63.81,18
IR-O-U-0490,Vellore Institute of Technology,61.51,61.95,79.42,61.11,39.35,Vellore,Tamil Nadu,62.97,19
IR-O-U-0439,Anna University,60.32,63.51,71.58,48.93,64.13,Chennai,Tamil Nadu,62.77,20
IR-O-U-0473,S.R.M. Institute of Science and Technology,71.69,55.43,76.92,68.55,17.02,Chennai,Tamil Nadu,62.07,21
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,72.59,60.87,72.82,66.07,5.79,Chennai,Tamil Nadu,61.79,22
IR-O-U-0391,"Birla Institute of Technology and Science, Pilani",66.06,57.83,75.19,58.49,28.11,Pilani,Rajasthan,60.87,23
IR-O-U-0363,Siksha `O` Anusandhan,74.09,42.19,74.06,72.74,37.65,Bhubaneswar,Odisha,60.73,24
IR-O-U-0042,University of Hyderabad,72.69,45.58,81.39,62.26,25.60,Hyderabad,Telangana,60.55,25
IR-O-U-0570,Calcutta University,70.01,42.11,92.19,50.17,31.61,Kolkata,West Bengal,60.25,26
IR-O-U-0304,Homi Bhabha National Institute,76.29,52.45,76.95,53.84,7.42,Mumbai,Maharashtra,60.13,27
IR-O-U-0356,Kalinga Institute of Industrial Technology,74.74,42.01,79.53,76.35,13.72,Bhubaneswar,Odisha,59.94,28
IR-O-U-0139,Indian Institute of Technology Gandhinagar,76.40,41.53,69.97,69.21,24.82,Gandhinagar,Gujarat,58.77,29
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,57.16,54.95,76.25,57.97,40.09,Varanasi,Uttar Pradesh,58.69,30
IR-O-U-0467,National Institute of Technology Tiruchirappalli,57.74,48.14,74.21,64.62,55.37,Tiruchirappalli,Tamil Nadu,58.60,31
IR-O-U-0747,Chandigarh University,68.50,39.66,78.18,77.52,24.56,Mohali,Punjab,58.30,32
