Institute ID,Name,City,State,Rank
IR-S-U-0979,Symbiosis Skills and Professional University (Formerly Symbiosis Skill and Open University),Pune,Maharashtra,1
IR-S-U-1048,Shri Vishwakarma Skill University,Palwal,Haryana,2
IR-S-U-0949,Bhartiya Skill Development University,Rajasthan,Rajasthan,3
