college_name,state,city,field,ranking,score
Banaras Hindu University,Uttar Pradesh,Varanasi,law,25,54.54
"National Law University, Cuttack",Odisha,Cuttack,law,26,54.49
National Law University and Judicial Academy,Assam,Kamrup,law,27,53.39
UPES,Uttarakhand,Dehradun,law,28,52.92
"Manipal University, Jaipur",Rajasthan,Jaipur,law,29,52.23
Army Institute of Law,Punjab,Mohali,law,30,52.11
Maharashtra National Law University Mumbai,Maharashtra,Mumbai,law,31,51.7
Chanakya National Law University,Bihar,Patna,law,31,51.7
"Amity University Haryana, Gurgaon",Haryana,"Gurugram, Haryana",law,33,51.68
"Maharashtra National Law University, Nagpur",Maharashtra,Nagpur,law,34,51.43
Indian Law Institute,Delhi,New Delhi,law,35,50.25
"ICFAI Foundation for Higher Education, Hyderabad",Telangana,Hyderabad,law,36,49.87
Gandhi Institute of Technology and Management,Andhra Pradesh,Visakhapatnam,law,37,48.49
National University of Advanced Legal Studies (NUALS),Kerala,Kochi,law,38,47.96
Damodaram Sanjivayya National Law University,Andhra Pradesh,Visakhapatnam,law,39,47.94
Amity University,West Bengal,North Twenty Four Parganas,law,39,47.94
Indian Institute of Management Ahmedabad,Gujarat,Ahmedabad,management,1,83.32
Indian Institute of Management Bangalore,Karnataka,Bengaluru,management,2,81.16
Indian Institute of Management Kozhikode,Kerala,Kozhikode,management,3,77.9
Indian Institute of Technology Delhi,Delhi,New Delhi,management,4,76.25
Indian Institute of Management Calcutta,West Bengal,Kolkata,management,5,75.07
Indian Institute of Management Mumbai,Maharashtra,Mumbai,management,6,74.73
Indian Institute of Management Lucknow,Uttar Pradesh,Lucknow,management,7,74.43
Indian Institute of Management Indore,Madhya Pradesh,Indore,management,8,73.53
XLRI - Xavier School of Management,Jharkhand,Jamshedpur,management,9,68.13
Indian Institute of Technology Bombay,Maharashtra,Mumbai,management,10,67.16
Management Development Institute,Haryana,Gurugram,management,11,66.85
Indian Institute of Management Rohtak,Haryana,Rohtak,management,12,66.49
Symbiosis Institute of Business Management,Maharashtra,Pune,management,13,65.13
Indian Institute of Management Raipur,Chhattisgarh,Raipur,management,14,64.4
Indian Institute of Foreign Trade,Delhi,New Delhi,management,15,62.36
Indian Institute of Technology Madras,Tamil Nadu,Chennai,management,16,61.73
Indian Institute of Management Ranchi,Jharkhand,Ranchi,management,17,61.27
Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,management,18,61.21
Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,management,19,61.03
S. P. Jain Institute of Management and Research,Maharashtra,Mumbai,management,20,60.97
SVKM`s Narsee Monjee Institute of Management Studies,Maharashtra,Mumbai,management,21,60.96
Indian Institute of Management Udaipur,Rajasthan,Udaipur,management,22,60.93
Indian Institute of Management Kashipur,Uttarakhand,Kashipur,management,23,60.82
Indian Institute of Management Shillong,Meghalaya,Shillong,management,24,60.49
Jamia Millia Islamia,Delhi,New Delhi,management,25,60.32
Indian Institute of Management Visakhapatnam,Andhra Pradesh,Visakhapatnam,management,26,59.2
Indian Institute of Management Tiruchirappalli,Tamil Nadu,Tiruchirappalli,management,27,57.67
Amrita Vishwa Vidyapeetham,Tamil Nadu,Coimbatore,management,28,57.4
Amity University,Uttar Pradesh,Gautam Budh Nagar,management,29,57.23
Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,management,29,57.23
Indian Institute of Management Nagpur,Maharashtra,Nagpur,management,31,56.94
MICA,Gujarat,Ahmedabad,management,32,56.62
Indian Institute of Management Bodh Gaya,Bihar,Gaya,management,33,56.27
Great Lakes Institute of Management,Tamil Nadu,Chennai,management,34,56.15
Institute of Management Technology,Uttar Pradesh,Ghaziabad,management,35,56.03
Chandigarh University,Punjab,Mohali,management,36,55.71
Goa Institute of Management,Goa,Sanquelim,management,37,55.67
Lovely Professional University,Punjab,Phagwara,management,38,55.49
"ICFAI Foundation for Higher Education, Hyderabad",Telangana,Hyderabad,management,39,55.31
International Management Institute,Delhi,New Delhi,management,40,54.89
UPES,Uttarakhand,Dehradun,management,41,54.82
Indian Institute of Management Jammu (IIMJ),Jammu and Kashmir,Jammu,management,42,54.64
XIM University,Odisha,Bhubaneswar,management,43,54.49
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Punjab,Patiala,management,44,53.26
Jaipuria Institute of Management,Uttar Pradesh,Noida,management,45,53.23
Indian Institute of Technology (Indian School of Mines) Dhanbad,Jharkhand,Dhanbad,management,46,52.78
Indian Institute of Management Amritsar,Punjab,Amritsar,management,47,52.57
Banaras Hindu University,Uttar Pradesh,Varanasi,management,48,52.26
Institute of Rural Management Anand (IRMA),Gujarat,Anand,management,49,51.54
Indian Institute of Management Sambalpur,Odisha,Sambalpur,management,50,51.47
National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,management,51,51.4
Great Lakes Institute of Management,Haryana,Gurgaon,management,52,51.35
Fore School of Management,Delhi,New Delhi,management,53,51.08
Chitkara University,Punjab,Rajpura,management,54,51.02
Nirma University,Gujarat,Ahmedabad,management,55,51.01
"International Management Institute, Kolkata",West Bengal,Kolkata,management,56,50.97
Indian Institute of Management Sirmaur,Himachal Pradesh,Sirmaur,management,57,50.92
"T. A. Pai Management Institute, Manipal",Karnataka,Manipal,management,58,50.78
Graphic Era University,Uttarakhand,Dehradun,management,59,50.59
Christ University,Karnataka,Bengaluru,management,60,50.56
"International Management Institute, Bhubaneswar",Odisha,Bhubaneswar,management,61,50.38
Siksha `O` Anusandhan,Odisha,Bhubaneswar,management,62,49.69
K J Somaiya Institute of Management Studies and Research,Maharashtra,Mumbai,management,63,49.66
Birla Institute of Management Technology,Uttar Pradesh,Greater Noida,management,64,49.44
Guru Gobind Singh Indraprastha University,Delhi,New Delhi,management,65,49.4
Loyola Institute of Business Administration,Tamil Nadu,Chennai,management,66,49.26
Kalinga Institute of Industrial Technology,Odisha,Bhubaneswar,management,67,49.24
Malaviya National Institute of Technology,Rajasthan,Jaipur,management,68,49.14
Anna University,Tamil Nadu,Chennai,management,69,48.92
Aligarh Muslim University,Uttar Pradesh,Aligarh,management,70,48.68
Alliance University,Karnataka,Bengaluru,management,71,48.38
"Jaipuria Institute of Management, Lucknow",Uttar Pradesh,Lucknow,management,72,48.32
"Manipal University, Jaipur",Rajasthan,Jaipur,management,73,48.1
Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,Chennai,management,74,47.92
Jaipuria Institute of Management,Rajasthan,Jaipur,management,75,47.56
National Institute of Technology Calicut,Kerala,Kozhikode,management,76,47.55
"Jain University, Bangalore",Karnataka,Bengaluru,management,77,47.47
Jamia Hamdard,Delhi,New Delhi,management,78,47.39
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Andhra Pradesh,Vaddeswaram,management,79,47.27
PSG College of Technology,Tamil Nadu,Coimbatore,management,80,47.13
Cochin University of Science and Technology,Kerala,Cochin,management,81,47.08
Thiagarajar School of Management,Tamil Nadu,Madurai,management,82,47.02
BML Munjal University,Haryana,Gurgaon,management,83,46.67
Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),Maharashtra,Mumbai,management,84,46.53
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Madhya Pradesh,Gwalior,management,85,46.47
Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow,management,86,46.42
Jagan Institute of Management Studies Technical Campus,Delhi,Delhi,management,87,46.38
New Delhi Institute of Management,Delhi,Delhi,management,88,46.29
Pandit Deendayal Energy University,Gujarat,Gandhinagar,management,89,45.39
Birla Institute of Technology,Jharkhand,Ranchi,management,90,45.0
National Institute of Bank Management,Maharashtra,Pune,management,91,44.85
Panjab University,Chandigarh,Chandigarh,management,92,44.7
Rajagiri Business School,Kerala,Cochin,management,93,44.33
Bharathidasan Institute of Management,Tamil Nadu,Tiruchirappalli,management,94,44.17
Tezpur University,Assam,Tezpur,management,95,43.48
National Institute of Agricultural Extension Management,Telangana,Hyderabad,management,96,43.17
Institute of Management Technology,Telangana,Hyderabad,management,97,43.01
Galgotias University,Uttar Pradesh,Gautam Budh Nagar,management,98,42.9
Krea University,Andhra Pradesh,Sri City,management,99,42.82
National Institute of Technology Warangal,Telangana,Warangal,management,100,42.63
All India Institute of Medical Sciences Delhi,Delhi,New Delhi,medical,1,94.46
Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,medical,2,80.83
Christian Medical College,Tamil Nadu,Vellore,medical,3,75.11
"National Institute of Mental Health and Neuro Sciences, Bangalore",Karnataka,Bengaluru,medical,4,71.92
Jawaharlal Institute of Post Graduate Medical Education and Research,Pondicherry,Puducherry,medical,5,70.74
Sanjay Gandhi Postgraduate Institute of Medical Sciences,Uttar Pradesh,Lucknow,medical,6,70.07
Banaras Hindu University,Uttar Pradesh,Varanasi,medical,7,69.54
Amrita Vishwa Vidyapeetham,Tamil Nadu,Coimbatore,medical,8,68.81
"Kasturba Medical College, Manipal",Karnataka,Manipal,medical,9,67.42
"Madras Medical College and Government General Hospital, Chennai",Tamil Nadu,Chennai,medical,10,64.12
Dr. D. Y. Patil Vidyapeeth,Maharashtra,Pune,medical,11,64.1
Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,Chennai,medical,12,63.72
"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Kerala,Thiruvananthapuram,medical,13,63.68
All India Institute of Medical Sciences Rishikesh,Uttarakhand,Rishikesh,medical,14,63.16
All India Institute of Medical Sciences Bhubaneswar,Odisha,Khordha,medical,15,62.97
All India Institute of Medical Sciences Jodhpur,Rajasthan,Jodhpur,medical,16,62.57
Vardhman Mahavir Medical College & Safdarjung Hospital,Delhi,New Delhi,medical,17,62.36
S.R.M. Institute of Science and Technology,Tamil Nadu,Chennai,medical,18,62.0
King George`s Medical University,Uttar Pradesh,Lucknow,medical,19,61.95
Sri Ramachandra Institute of Higher Education and Research,Tamil Nadu,Chennai,medical,20,61.62
Siksha `O` Anusandhan,Odisha,Bhubaneswar,medical,21,61.28
Institute of Post Graduate Medical Education and Research,West Bengal,Kolkata,medical,22,60.47
Datta Meghe Institute of Higher Education and Research,Maharashtra,Wardha,medical,23,60.14
Maulana Azad Medical College,Delhi,Delhi,medical,24,59.63
Kalinga Institute of Industrial Technology,Odisha,Bhubaneswar,medical,25,59.6
All India Institute of Medical Sciences Patna,Bihar,Patna,medical,26,58.24
Aligarh Muslim University,Uttar Pradesh,Aligarh,medical,27,58.07
St. John's Medical College,Karnataka,Bengaluru,medical,28,58.03
Lady Hardinge Medical College,Delhi,New Delhi,medical,29,57.8
Armed Force Medical College,Maharashtra,Pune,medical,30,57.68
All India Institute of Medical Sciences Bhopal,Madhya Pradesh,Bhopal,medical,31,57.66
University College of Medical Sciences,Delhi,Delhi,medical,32,57.65
"Kasturba Medical College, Mangalore",Karnataka,Mangaluru,medical,33,57.12
Institute of Liver and Biliary Sciences,Delhi,New Delhi,medical,34,56.89
Govt. Medical College & Hospital,Chandigarh,Chandigarh,medical,35,56.53
Maharishi Markandeshwar (Deemed to be University),Haryana,Ambala,medical,35,56.53
Jamia Hamdard,Delhi,New Delhi,medical,37,55.53
All India Institute of Medical Sciences Raipur,Chhattisgarh,Raipur,medical,38,55.27
"JSS Medical College, Mysore",Karnataka,Mysuru,medical,39,55.0
Dayanand Medical College,Punjab,Ludhiana,medical,40,54.48
PSG Institute of Medical Sciences and Research,Tamil Nadu,Coimbatore,medical,41,53.11
"Government Medical College, Thiruvananthapuram",Kerala,Thiruvananthapuram,medical,42,52.3
Sawai Man Singh Medical College,Rajasthan,Jaipur,medical,43,51.91
Medical College,West Bengal,Kolkata,medical,44,51.87
Gujarat Cancer and Research Institute,Gujarat,Ahmadabad,medical,45,51.77
M. S. Ramaiah Medical College,Karnataka,Bengaluru,medical,46,51.76
Mahatma Gandhi Medical College and Research Institute,Pondicherry,Puducherry,medical,47,51.02
Osmania Medical College,Telangana,HYDERABAD,medical,48,50.99
Christian Medical College,Punjab,Ludhiana,medical,49,50.96
Pandit Bhagwat Dayal Sharma University of Health Sciences,Haryana,Rohtak,medical,50,50.71
Indira Gandhi National Open University (IGNOU),Delhi,New Delhi,open_university,1,
Netaji Subhash Open University,West Bengal,Kolkata,open_university,2,
Dr. Babasaheb Ambedkar Open University,Gujarat,Ahmedabad,open_university,3,
Indian Institute of Technology Madras,Tamil Nadu,Chennai,overall,1,86.42
"Indian Institute of Science, Bengaluru",Karnataka,Bengaluru,overall,2,83.28
Indian Institute of Technology Bombay,Maharashtra,Mumbai,overall,3,81.37
Indian Institute of Technology Delhi,Delhi,New Delhi,overall,4,80.31
Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,overall,5,77.56
Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,overall,6,74.77
All India Institute of Medical Sciences Delhi,Delhi,New Delhi,overall,7,74.27
Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,overall,8,71.52
Indian Institute of Technology Guwahati,Assam,Guwahati,overall,9,69.04
Jawaharlal Nehru University,Delhi,New Delhi,overall,10,68.53
Banaras Hindu University,Uttar Pradesh,Varanasi,overall,11,67.56
Indian Institute of Technology Hyderabad,Telangana,Hyderabad,overall,12,66.69
Jamia Millia Islamia,Delhi,New Delhi,overall,13,66.0
"Manipal Academy of Higher Education, Manipal",Karnataka,Manipal,overall,14,64.94
University of Delhi,Delhi,Delhi,overall,15,64.81
Aligarh Muslim University,Uttar Pradesh,Aligarh,overall,16,64.17
Jadavpur University,West Bengal,Kolkata,overall,17,63.84
Amrita Vishwa Vidyapeetham,Tamil Nadu,Coimbatore,overall,18,63.81
Vellore Institute of Technology,Tamil Nadu,Vellore,overall,19,62.97
Anna University,Tamil Nadu,Chennai,overall,20,62.77
S.R.M. Institute of Science and Technology,Tamil Nadu,Chennai,overall,21,62.07
Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,Chennai,overall,22,61.79
"Birla Institute of Technology and Science, Pilani",Rajasthan,Pilani,overall,23,60.87
Siksha `O` Anusandhan,Odisha,Bhubaneswar,overall,24,60.73
University of Hyderabad,Telangana,Hyderabad,overall,25,60.55
Calcutta University,West Bengal,Kolkata,overall,26,60.25
Homi Bhabha National Institute,Maharashtra,Mumbai,overall,27,60.13
Kalinga Institute of Industrial Technology,Odisha,Bhubaneswar,overall,28,59.94
Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,overall,29,58.77
Indian Institute of Technology (Banaras Hindu University) Varanasi,Uttar Pradesh,Varanasi,overall,30,58.69
National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,overall,31,58.6
Chandigarh University,Punjab,Mohali,overall,32,58.3
Indian Institute of Technology Indore,Madhya Pradesh,Indore,overall,33,57.31
National Institute of Technology Rourkela,Odisha,Rourkela,overall,34,57.04
Indian Institute of Technology (Indian School of Mines) Dhanbad,Jharkhand,Dhanbad,overall,35,56.97
JSS Academy of Higher Education and Research,Karnataka,Mysuru,overall,36,55.79
Savitribai Phule Pune University,Maharashtra,Pune,overall,37,55.69
Kerala University,Kerala,Thiruvananthapuram,overall,38,55.61
Jawaharlal Institute of Post Graduate Medical Education and Research,Pondicherry,Puducherry,overall,39,55.51
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Andhra Pradesh,Vaddeswaram,overall,40,55.47
Andhra University,Andhra Pradesh,Visakhapatnam,overall,41,54.97
Indian Institute of Science Education and Research Pune,Maharashtra,Pune,overall,42,54.86
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Punjab,Patiala,overall,43,54.83
Bharathiar University,Tamil Nadu,Coimbatore,overall,44,54.81
Lovely Professional University,Punjab,Phagwara,overall,45,54.58
"National Institute of Technology Karnataka, Surathkal",Karnataka,Surathkal,overall,46,54.44
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,Thanjavur,overall,47,54.14
Indian Institute of Technology Ropar,Punjab,Rupnagar,overall,48,54.12
Amity University,Uttar Pradesh,Gautam Budh Nagar,overall,49,54.04
Kalasalingam Academy of Research and Education,Tamil Nadu,Srivilliputhur,overall,50,54.02
Cochin University of Science and Technology,Kerala,Cochin,overall,51,53.99
Symbiosis International,Maharashtra,Pune,overall,52,53.93
National Institute of Technology Warangal,Telangana,Warangal,overall,53,53.74
National Institute of Technology Calicut,Kerala,Kozhikode,overall,54,53.66
Bharathidasan University,Tamil Nadu,Tiruchirappalli,overall,55,53.47
Institute of Chemical Technology,Maharashtra,Mumbai,overall,56,53.38
Gauhati University,Assam,Guwahati,overall,57,53.28
Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow,overall,58,53.26
UPES,Uttarakhand,Dehradun,overall,59,53.05
Panjab University,Chandigarh,Chandigarh,overall,60,52.99
Indian Institute of Science Education and Research Kolkata,West Bengal,Mohanpur,overall,61,52.91
Jamia Hamdard,Delhi,New Delhi,overall,62,52.83
Dr. D. Y. Patil Vidyapeeth,Maharashtra,Pune,overall,63,52.72
Indian Institute of Science Education and Research Mohali,Punjab,Mohali,overall,64,52.58
University of Madras,Tamil Nadu,Chennai,overall,64,52.58
Delhi Technological University,Delhi,New Delhi,overall,66,52.38
Mahatma Gandhi University,Kerala,Kottayam,overall,67,52.3
Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,overall,68,52.24
University of Kashmir,Jammu and Kashmir,Srinagar,overall,69,52.14
Osmania University,Telangana,Hyderabad,overall,70,52.02
Datta Meghe Institute of Higher Education and Research,Maharashtra,Wardha,overall,71,51.75
Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,overall,72,51.68
Indian Institute of Technology Patna,Bihar,Patna,overall,73,51.24
All India Institute of Medical Sciences Rishikesh,Uttarakhand,Rishikesh,overall,74,51.22
"Indian Statistical Institute, Kolkata",West Bengal,Kolkata,overall,75,51.1
Alagappa University,Tamil Nadu,Karaikudi,overall,76,51.07
Visvesvaraya National Institute of Technology Nagpur,Maharashtra,Nagpur,overall,77,51.03
Indian Institute of Science Education and Research Bhopal,Madhya Pradesh,Bhopal,overall,78,50.94
Graphic Era University,Uttarakhand,Dehradun,overall,79,50.58
Punjab Agricultural University,Punjab,Ludhiana,overall,80,50.55
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,Kalavakkam,overall,81,50.43
Malaviya National Institute of Technology,Rajasthan,Jaipur,overall,82,50.41
All India Institute of Medical Sciences Jodhpur,Rajasthan,Jodhpur,overall,83,49.94
SVKM`s Narsee Monjee Institute of Management Studies,Maharashtra,Mumbai,overall,84,49.59
Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,overall,85,49.52
Mysore University,Karnataka,Mysuru,overall,86,49.45
University of Jammu,Jammu and Kashmir,Jammu,overall,87,49.4
King George`s Medical University,Uttar Pradesh,Lucknow,overall,88,48.98
Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh,Solan,overall,89,48.95
Christ University,Karnataka,Bengaluru,overall,90,48.66
Bharath Institute of Higher Education and Research,Tamil Nadu,Chennai,overall,91,48.64
National Institute of Technology Silchar,Assam,Silchar,overall,92,48.55
National Institute of Technology Durgapur,West Bengal,Durgapur,overall,93,48.29
Gujarat University,Gujarat,Ahmedabad,overall,94,48.16
Shiv Nadar University,Uttar Pradesh,Gautam Buddha Nagar,overall,95,48.12
Sri Ramachandra Institute of Higher Education and Research,Tamil Nadu,Chennai,overall,96,48.1
Acharya Nagarjuna University,Andhra Pradesh,Guntur,overall,97,47.73
Tata Institute of Social Sciences,Maharashtra,Mumbai,overall,98,47.56
All India Institute of Medical Sciences Patna,Bihar,Patna,overall,99,47.55
Periyar University,Tamil Nadu,Salem,overall,100,47.43
Jamia Hamdard,Delhi,New Delhi,pharmacy,1,84.01
National Institute of Pharmaceutical Education and Research Hyderabad,Telangana,Hyderabad,pharmacy,2,80.29
"Birla Institute of Technology and Science, Pilani",Rajasthan,Pilani,pharmacy,3,78.95
JSS College of Pharmacy,Tamil Nadu,Ooty,pharmacy,4,77.13
Institute of Chemical Technology,Maharashtra,Mumbai,pharmacy,5,74.69
JSS College of Pharmacy,Karnataka,Mysore,pharmacy,6,72.89
Panjab University,Chandigarh,Chandigarh,pharmacy,7,72.76
"Manipal College of Pharmaceutical Sciences, Manipal",Karnataka,Udupi,pharmacy,8,72.27
National Institute of Pharmaceutical Education and Research Mohali,Punjab,Mohali,pharmacy,9,70.86
SVKM`s Narsee Monjee Institute of Management Studies,Maharashtra,Mumbai,pharmacy,10,69.94
S.R.M. Institute of Science and Technology,Tamil Nadu,Chennai,pharmacy,11,68.9
National Institute of Pharmaceutical Education and Research Guwahati,Assam,Guwahati,pharmacy,12,68.82
Amrita Vishwa Vidyapeetham,Tamil Nadu,Coimbatore,pharmacy,13,68.07
National Institute of Pharmaceutical Education and Research Raebareli,Uttar Pradesh,Lucknow,pharmacy,14,65.53
National Institute of Pharmaceutical Education and Research Ahmedabad,Gujarat,Gandhinagar,pharmacy,15,64.89
Delhi Pharmaceutical Sciences and Research University,Delhi,Delhi,pharmacy,16,64.73
Lovely Professional University,Punjab,Phagwara,pharmacy,16,64.73
Jadavpur University,West Bengal,Kolkata,pharmacy,18,64.14
Chitkara University,Punjab,Rajpura,pharmacy,19,64.05
Chandigarh University,Punjab,Mohali,pharmacy,20,64.01
Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow,pharmacy,21,61.78
Amity University,Uttar Pradesh,Gautam Budh Nagar,pharmacy,22,61.07
Central University of Punjab,Punjab,Bathinda,pharmacy,23,60.92
National Institute of Pharmaceutical Education and Research Kolkata,West Bengal,Kolkata,pharmacy,24,58.76
I. S. F. College of Pharmacy,Punjab,Moga,pharmacy,25,58.27
Maharishi Markandeshwar (Deemed to be University),Haryana,Ambala,pharmacy,26,58.24
Annamalai University,Tamil Nadu,Annamalainagar,pharmacy,27,58.19
Banasthali Vidyapith,Rajasthan,Banasthali,pharmacy,28,57.77
Central University of Rajasthan,Rajasthan,Kishangarh,pharmacy,29,57.65
Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh,Solan,pharmacy,30,57.07
Sri Ramachandra Institute of Higher Education and Research,Tamil Nadu,Chennai,pharmacy,31,56.98
Birla Institute of Technology,Jharkhand,Ranchi,pharmacy,32,56.75
National Institute Of Pharmaceutical Education And Research Hajipur,Bihar,Hajipur,pharmacy,33,56.4
"AU College of Pharmaceutical Sciences, Andhra University",Andhra Pradesh,Visakhapatnam,pharmacy,34,56.11
"Poona College of Pharmacy, Pune",Maharashtra,Pune,pharmacy,35,55.86
Dr D Y Patil Institute of Pharmaceutical Sciences and Research,Maharashtra,Pune,pharmacy,36,55.24
Nirma University,Gujarat,Ahmedabad,pharmacy,37,55.22
Maharshi Dayanand University,Haryana,Rohtak,pharmacy,38,54.53
SVKM`s Dr. Bhanuben Nanavati College of Pharmacy,Maharashtra,Mumbai,pharmacy,39,54.18
Noida Institute of Engineering and Technology (Pharmacy Institute),Uttar Pradesh,Greater Noida,pharmacy,40,53.55
N.G.S.M. Institute of Pharmaceutical Sciences,Karnataka,Mangaluru,pharmacy,41,53.35
"KLE College of Pharmacy, Belgaum",Karnataka,Belgaum,pharmacy,42,52.66
Dibrugarh University,Assam,Dibrugarh,pharmacy,43,52.16
Maharaja Sayajirao University of Baroda,Gujarat,Vadodara,pharmacy,44,51.93
Integral University,Uttar Pradesh,Lucknow,pharmacy,45,51.44
Punjabi University,Punjab,Patiala,pharmacy,46,51.33
Parul University,Gujarat,Vadodara,pharmacy,47,51.3
Gandhi Institute of Technology and Management,Andhra Pradesh,Visakhapatnam,pharmacy,48,51.03
Suresh Gyan Vihar University,Rajasthan,Jaipur,pharmacy,49,50.81
Galgotias University,Uttar Pradesh,Gautam Budh Nagar,pharmacy,50,50.73
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,Nagpur,pharmacy,51,50.22
L. M. College of Pharmacy,Gujarat,Ahmedabad,pharmacy,52,50.02
G. L. A. University,Uttar Pradesh,Mathura,pharmacy,53,49.74
Guru Ghasidas Vishwavidyalaya,Chhattisgarh,BILASPUR (Chhattisgarh),pharmacy,54,49.65
Guru Jambheshwar University of Science and Technology,Haryana,Hisar,pharmacy,55,48.98
R. C. Patel Institute of Pharmaceutical Education and Research,Maharashtra,Shirpur,pharmacy,56,48.75
Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College,Punjab,Bela,pharmacy,57,48.51
PSG College of Pharmacy,Tamil Nadu,Coimbatore,pharmacy,58,48.08
Mohan Lal Sukhadia University,Rajasthan,Udaipur,pharmacy,59,47.03
Sri Padmavathi Mahila Visvavidyalayam,Andhra Pradesh,Tirupati,pharmacy,60,46.63
Smt. Kishoritai Bhoyar College of Pharmacy,Maharashtra,Nagpur,pharmacy,61,46.37
"Kumaun University, Nainital",Uttarakhand,Nainital,pharmacy,62,46.34
Acharya Nagarjuna University College of Pharmaceutical Sciences,Andhra Pradesh,Guntur,pharmacy,63,46.1
Vels Institute of Science Technology and Advanced Studies (VISTAS),Tamil Nadu,Chennai,pharmacy,64,46.0
Nandha College of Pharmacy,Tamil Nadu,Erode,pharmacy,65,45.5
Chandigarh College of Pharmacy,Punjab,Landran,pharmacy,66,45.3
Krishna Vishwa Vidyapeeth,Maharashtra,Karad,pharmacy,67,45.13
M.S. Ramaiah University of Applied Sciences,Karnataka,Bengaluru,pharmacy,68,45.02
Sharda University,Uttar Pradesh,Greater Noida,pharmacy,69,44.75
Gujarat Technological University,Gujarat,Ahmedabad,pharmacy,70,44.33
Anurag University,Telangana,Hyderabad,pharmacy,71,44.22
Dr. Vishwanath Karad MIT World Peace University,Maharashtra,Pune,pharmacy,72,43.74
Bombay College of Pharmacy,Maharashtra,Mumbai,pharmacy,73,43.72
Guru Nanak Institute of Pharmaceutical Science and Technology,West Bengal,Kolkata,pharmacy,74,43.66
Bundelkhand University,Uttar Pradesh,Jhansi,pharmacy,74,43.66
Y. B. Chavan College of Pharmacy,Maharashtra,Aurangabad,pharmacy,76,43.49
KIET Group of Institutions: KIET Group of Pharmacy,Uttar Pradesh,Ghaziabad,pharmacy,77,43.42
"College of Pharmacy, Madras Medical College",Tamil Nadu,Chennai,pharmacy,78,43.36
Sri Venkateswara College of Pharmacy,Andhra Pradesh,Chittoor,pharmacy,79,42.77
Bharati Vidyapeeth College of Pharmacy,Maharashtra,Kolhapur,pharmacy,80,42.5
DIT University,Uttarakhand,Dehradun,pharmacy,81,42.48
Arulmigu Kalasalingam College of Pharmacy,Tamil Nadu,Srivilliputtur,pharmacy,82,41.58
Sri Adichunchanagiri College of Pharmacy,Karnataka,B G Nagar,pharmacy,83,41.54
B. S. Abdur Rahman Crescent Institute of Science and Technology,Tamil Nadu,Chennai,pharmacy,84,41.48
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Uttar Pradesh,Prayagraj,pharmacy,85,41.45
Acharya & B M Reddy College of Pharmacy,Karnataka,Bengaluru,pharmacy,86,41.35
Vishnu Institute of Pharmaceutical Education and Research,Telangana,Narsapur,pharmacy,87,41.19
Kakatiya University,Telangana,"Hanamkonda, Warangal",pharmacy,88,41.15
Vinayaka Mission's Research Foundation,Tamil Nadu,Salem,pharmacy,89,41.01
Ramanbhai Patel College of Pharmacy,Gujarat,Anand,pharmacy,90,40.9
"Uka Tarsadia University, Bardoli",Gujarat,Bardoli,pharmacy,91,40.87
Shri Vishnu College of Pharmacy,Andhra Pradesh,Bhimavaram,pharmacy,92,40.72
Goa College of Pharmacy,Goa,Panaji,pharmacy,93,40.69
Dr. B. C. Roy College of Pharmacy and Allied Health Sciences,West Bengal,Durgapur,pharmacy,94,40.67
CMR College of Pharmacy,Telangana,Rangareddy,pharmacy,95,40.51
P. E. Society`s Modern College of Pharmacy,Maharashtra,Pune,pharmacy,96,40.3
Principal K.M. Kundnani College of Pharmacy,Maharashtra,Mumbai,pharmacy,97,40.23
