college_name,state,city,field,ranking,score
Thiagarajar College of Engineering,Tamil Nadu,Madurai,architecture_and_planning,25,54.71
National Institute of Technology Patna,Bihar,Patna,architecture_and_planning,27,54.19
"Manipal School of Architecture and Planning, MAHE",Karnataka,Udupi,architecture_and_planning,28,53.21
Guru Gobind Singh Indraprastha University,Delhi,New Delhi,architecture_and_planning,29,52.73
"Chandigarh College of Architecture, Sector-12",Chandigarh,Chandigarh,architecture_and_planning,30,52.6
Shri Mata Vaishno Devi University,Jammu and Kashmir,Katra,architecture_and_planning,31,52.59
National Institute of Technology Hamirpur,Himachal Pradesh,Hamirpur,architecture_and_planning,32,52.58
"Manipal University, Jaipur",Rajasthan,Jaipur,architecture_and_planning,33,51.6
Anna University,Tamil Nadu,Chennai,architecture_and_planning,34,51.16
Chitkara University,Punjab,Rajpura,architecture_and_planning,35,50.96
National Institute of Technology Raipur,Chhattisgarh,Raipur,architecture_and_planning,36,50.63
Anant National University,Gujarat,Ahmedabad,architecture_and_planning,37,49.53
"BMS School of Architecture, Yelahanka",Karnataka,Bengaluru,architecture_and_planning,38,49.47
Gandhi Institute of Technology and Management,Andhra Pradesh,Visakhapatnam,architecture_and_planning,39,48.99
B. S. Abdur Rahman Crescent Institute of Science and Technology,Tamil Nadu,Chennai,architecture_and_planning,40,47.53
Hindu College,Delhi,Delhi,college,1,74.47
Miranda House,Delhi,Delhi,college,2,73.22
St. Stephens's College,Delhi,Delhi,college,3,72.97
Rama Krishna Mission Vivekananda Centenary College,West Bengal,Kolkata,college,3,72.97
Atma Ram Sanatan Dharm College,Delhi,New Delhi,college,5,72.59
St. Xavier`s College,West Bengal,Kolkata,college,6,72.15
PSGR Krishnammal College for Women,Tamil Nadu,Coimbatore,college,7,72.09
Loyola College,Tamil Nadu,Chennai,college,8,70.74
Kirori Mal College,Delhi,Delhi,college,9,69.86
Lady Shri Ram College for Women,Delhi,New Delhi,college,10,69.49
PSG College of Arts and Science,Tamil Nadu,Coimbatore,college,11,69.06
Hans Raj College,Delhi,Delhi,college,12,68.76
Presidency College,Tamil Nadu,Chennai,college,13,68.36
Madras Christian College,Tamil Nadu,Chennai,college,14,67.41
Thiagarajar College,Tamil Nadu,Madurai,college,15,66.82
Deshbandhu College,Delhi,New Delhi,college,16,66.03
Ramakrishna Mission Vidyamandira,West Bengal,Howrah,college,17,65.51
Acharya Narendra Dev College,Delhi,New Delhi,college,18,64.73
Shri Ram College of Commerce,Delhi,Delhi,college,19,64.56
Rajagiri College of Social Sciences,Kerala,Ernakulam,college,20,64.22
Sri Venkateswara College,Delhi,Delhi,college,21,63.98
"University College, Thiruvananthapuram",Kerala,Thiruvananthapuram,college,22,63.65
Lady Irwin College,Delhi,Delhi,college,23,63.27
Ramakrishna Mission Residential College,West Bengal,Kolkata,college,24,62.78
"St. Joseph's College, Tiruchirappalli",Tamil Nadu,Tiruchirappalli,college,25,62.73
Deen Dayal Upadhyaya College,Delhi,New Delhi,college,26,62.47
Bhaskaracharya College of Applied Sciences,Delhi,New Delhi,college,27,61.55
V.O. Chidambaram College,Tamil Nadu,Thoothukudi,college,28,60.8
Maitreyi College,Delhi,New Delhi,college,29,59.6
Stella Maris College for Women,Tamil Nadu,Chennai,college,30,59.51
Gargi College,Delhi,Delhi,college,31,59.28
Midnapore College,West Bengal,Midnapore,college,32,58.91
Bishop Heber College,Tamil Nadu,Tiruchirappalli,college,33,58.61
Dyal Singh College,Delhi,New Delhi,college,34,58.55
Pachhunga University College,Mizoram,Aizawl,college,35,58.24
"St. Xavier's College, Palayamkottai",Tamil Nadu,Palayamkottai,college,36,58.23
Sri Krishna Arts and Science College,Tamil Nadu,Coimbatore,college,37,58.22
Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,college,38,58.18
Jesus & Mary College,Delhi,New Delhi,college,39,57.79
Sri Guru Gobind Singh College of Commerce,Delhi,Delhi,college,39,57.79
"Holy Cross College, Tiruchirappalli",Tamil Nadu,Tiruchirappalli,college,41,57.53
"Nesamony Memorial Christian College, Marthandam, Kanyakumari Dist.",Tamil Nadu,Marthandam,college,42,57.03
Kamala Nehru College,Delhi,Delhi,college,43,56.95
Dhanalakshmi Srinivasan College of Arts and Science for Women,Tamil Nadu,Perambalur,college,44,56.91
Fergusson College (Autonomous),Maharashtra,Pune,college,45,56.77
"St. Teresa's College, Ernakulam",Kerala,Ernakulam,college,46,56.71
Sacred Heart College (Autonomous),Tamil Nadu,Tirupattur,college,47,56.43
Sacred Heart College,Kerala,Kochi,college,48,56.31
Shivaji College,Delhi,Delhi,college,49,56.11
"Govt. College for Women, Thiruvananthapuram",Kerala,Thiruvananthapuram,college,49,56.11
Govt Home Science College,Chandigarh,Chandigarh,college,51,55.92
Kongunadu Arts and Science College,Tamil Nadu,Coimbatore,college,52,55.91
"Maharaja's College, Ernakulam",Kerala,Ernakulam,college,53,55.7
The American College,Tamil Nadu,Madurai,college,54,55.69
St. Joseph`s College of Commerce,Karnataka,Bengaluru,college,55,55.65
Sri Ramakrishna College of Arts and Science,Tamil Nadu,Coimbatore,college,56,55.64
"St. Thomas College, Thrissur",Kerala,Thrissur,college,57,55.59
St. Aloysius College,Karnataka,Mangaluru,college,58,55.57
"Jamal Mohamed College, Tiruchirappalli",Tamil Nadu,Tiruchirappalli,college,59,55.46
Kristu Jayanti College,Karnataka,Bengaluru,college,60,55.35
"St. Joseph`s College, Devagiri",Kerala,Kozhikode,college,61,55.33
Bishop Moore College,Kerala,Alappuzha,college,62,55.25
Ayya Nadar Janaki Ammal College,Tamil Nadu,Sivakasi,college,63,55.13
"Government Institute of Science, Nagpur",Maharashtra,Nagpur,college,64,54.91
Ramanujan College,Delhi,New Delhi,college,65,54.85
Mar Ivanios College,Kerala,Thiruvananthapuram,college,66,54.75
Women`s Christian College,Tamil Nadu,Chennai,college,67,54.54
Government Arts College,Tamil Nadu,Coimbatore,college,67,54.54
"S.B. College, Changanassery",Kerala,Kottayam,college,69,54.51
Goswami Ganesh Dutta S.D. College,Chandigarh,Chandigarh,college,70,54.5
Queen Mary`s College,Tamil Nadu,Chennai,college,71,54.49
Daulat Ram College,Delhi,Delhi,college,72,54.37
Madras School of Social Work,Tamil Nadu,Chennai,college,73,54.17
Mar Athanasius College,Kerala,Kothamangalam,college,74,53.94
Dr. N. G. P. Arts and Science College,Tamil Nadu,Coimbatore,college,75,53.93
Alagappa Government Arts College,Tamil Nadu,Karaikudi,college,76,53.87
Kanchi Mamunivar Govt. Institute for Postgraduate Studies and Research,Pondicherry,PUDUCHERRY,college,77,53.8
A.P.C. Mahalaxmi College for Women,Tamil Nadu,Thoothukkudi,college,78,53.77
Ethiraj College for Women,Tamil Nadu,Chennai,college,79,53.61
"Vimala College, Thrissur",Kerala,Thrissur,college,80,53.49
"S S Jain Subodh P G College, Jaipur",Rajasthan,Jaipur,college,81,53.46
National College,Tamil Nadu,Tiruchirappalli,college,82,53.14
Sri Ramakrishna Mission Vidyalaya College of Arts and Science,Tamil Nadu,Coimbatore,college,82,53.14
Government Victoria College,Kerala,Palakkad,college,84,53.09
St. Joseph's College,Kerala,Thrissur,college,85,52.95
Maharaja Agrasen College,Delhi,Delhi,college,86,52.88
"M S Ramaiah College of Arts, Science, and Commerce",Karnataka,Bengaluru,college,87,52.87
Scottish Church College,West Bengal,Kolkata,college,88,52.79
Guru Nanak College,Tamil Nadu,Chennai,college,89,52.6
St. Xavier`s College,Maharashtra,Mumbai,college,89,52.6
Bethune College,West Bengal,Kolkata,college,91,52.5
CMS College Kottayam,Kerala,Kottayam,college,92,52.36
Keshav Mahavidyalya,Delhi,Delhi,college,93,52.13
Dr. S. N. S. Rajalakshmi College of Arts and Science,Tamil Nadu,Coimbatore,college,94,52.08
Virudhunagar Hindu Nadars Senthikumara Nadar College,Tamil Nadu,Virudhunagar,college,95,52.06
Government Arts College,Tamil Nadu,Kumbakonam,college,96,51.92
Delhi College of Arts and Commerce,Delhi,South West,college,97,51.91
Sadakathullah Appa College,Tamil Nadu,Tirunelveli,college,98,51.9
Shri Shivaji Science College,Maharashtra,Amravati,college,99,51.86
Scott Christian College,Tamil Nadu,Nagercoil,college,100,51.84
Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,Chennai,dental,1,81.83
"Manipal College of Dental Sciences, Manipal",Karnataka,Manipal,dental,2,76.03
Maulana Azad Institute of Dental Sciences,Delhi,Delhi,dental,3,74.39
King George`s Medical University,Uttar Pradesh,Lucknow,dental,4,72.36
Dr. D. Y. Patil Vidyapeeth,Maharashtra,Pune,dental,5,72.25
A.B.Shetty Memorial Institute of Dental Sciences,Karnataka,Mangaluru,dental,6,70.14
SRM Dental College,Tamil Nadu,Chennai,dental,7,69.18
Jamia Millia Islamia,Delhi,New Delhi,dental,8,64.38
Siksha `O` Anusandhan,Odisha,Bhubaneswar,dental,9,63.26
Sri Ramachandra Institute of Higher Education and Research,Tamil Nadu,Chennai,dental,10,62.4
"Manipal College of Dental Sciences, Mangalore",Karnataka,Mangaluru,dental,11,62.07
JSS Dental College and Hospital,Karnataka,Mysuru,dental,12,60.57
